facility_name,facility_type,address,postal_code,latitude,longitude
Toronto General Hospital,Hospital,200 Elizabeth St,M5G 2C4,43.6591,-79.3872
Toronto Western Hospital,Hospital,399 Bathurst St,M5T 2S8,43.6536,-79.4056
Princess Margaret Cancer Centre,Hospital,610 University Ave,M5G 2M9,43.66,-79.3902
Mount Sinai Hospital,Hospital,600 University Ave,M5G 1X5,43.6581,-79.3906
St. Michael's Hospital,Hospital,30 Bond St,M5B 1W8,43.6544,-79.378
Sunnybrook Health Sciences Centre,Hospital,2075 Bayview Ave,M4N 3M5,43.7223,-79.3834
Michael Garron Hospital,Hospital,825 Coxwell Ave,M4C 3E7,43.6841,-79.3247
North York General Hospital,Hospital,4001 Leslie St,M2K 1E1,43.7677,-79.3631
St. Joseph's Health Centre,Hospital,30 The Queensway,M6R 1B5,43.6384,-79.4485
